name,category,url
Red V-neck Culotte Jumpsuit,Jumpsuits & Rompers,https://res.cloudinary.com/dipchhasm/image/upload/v1760954337/Red_V-neck_Culotte_Jumpsuit_zitn0v.jpg
Plum Peacoat,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954337/Plum_Peacoat_ofq6zr.png
Plum Mary Jane Heels,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954336/Plum_Mary_Jane_Heels_dqtox8.png
Plum Clutch,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954336/Plum_Clutch_j9giip.png
plum leather pants,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954336/plum_leather_pants_ugvars.jpg
Plum Boat Shoes,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954336/Plum_Boat_Shoes_amgvwk.png
Periwinkle Shift Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954336/Periwinkle_Shift_Dress_h4e12h.png
Periwinkle Off Shoulder top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954336/Periwinkle_Off_Shoulder_top_dhbqmk.jpg
Olive Utility Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954323/Olive_Utility_Jacket_lkebsx.png
Periwinkle Dress Shirt,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954323/Periwinkle_Dress_Shirt_w4kfng.jpg
Peach oxford shirt,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954323/Peach_oxford_shirt_kjview.jpg
Peach Halter Sundress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954323/Peach_Halter_Sundress_jj980v.png
Pastel Pink Ruffled Shirt,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954323/Pastel_Pink_Ruffled_Shirt_hj7dsu.jpg
Olive Parka,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_Parka_ipx8bc.png
Olive sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_sweater_rjuozk.jpg
Olive Henley,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_Henley_oace6h.jpg
Olive green sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_green_sweater_pc19nj.jpg
Off-White Square Neck Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Off-White_Square_Neck_Top_xzgo4g.jpg
Olive Green Cargo Pants,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_Green_Cargo_Pants_zbhtht.jpg
Off-White Lace Cocktail Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Off-White_Lace_Cocktail_Dress_g5eoo6.png
Olive Chukka Boots,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_Chukka_Boots_des1ng.png
Olive Cargo Shorts,Shorts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954322/Olive_Cargo_Shorts_jrty4q.jpg
Oatmeal Basic Tee,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954321/Oatmeal_Basic_Tee_vowl48.jpg
Navy V-Neck Top Long Sleeve,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954310/Navy_V-Neck_Top_Long_Sleeve_cq9r8f.jpg
Navy V-Neck Jumpsuit,Jumpsuits & Rompers,https://res.cloudinary.com/dipchhasm/image/upload/v1760954310/Navy_V-Neck_Jumpsuit_grxlff.png
Navy Leather Watch,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954310/Navy_Leather_Watch_uvjn5u.png
Navy Suede Loafers,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Suede_Loafers_vxovpk.png
Navy Striped Tee,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Striped_Tee_sxrzur.jpg
Navy Scarf,Scarves & Ties,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Scarf_y7f2nj.png
Navy Parka,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Parka_ipwkkn.png
Navy Dress Shoes,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Dress_Shoes_zcnzvd.png
Navy Corduroy Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Corduroy_Jacket_wytkuh.png
Navy Denim Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Denim_Jacket_piik9j.png
Navy Closed-Toe Pumps,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954309/Navy_Closed-Toe_Pumps_nhbkwr.png
Navy Classic Midi Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954308/Navy_Classic_Midi_Dress_yg72jq.png
Navy Chino,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954308/Navy_Chino_pourou.jpg
Navy Chino Shorts,Shorts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954308/Navy_Chino_Shorts_ques3e.jpg
Navy Boat Neck Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/Navy_Boat_Neck_Top_qc2hos.jpg
Navy blue sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/Navy_blue_sweater_f1kafx.jpg
Navy Blue Polo Shirt,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/Navy_Blue_Polo_Shirt_yt73vv.jpg
Navy Backpack,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/Navy_Backpack_ykrvxo.png
navy blue jeans,Jeans & Denim,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/navy_blue_jeans_rqqsz2.jpg
Navy A-Line Skirt,Skirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/Navy_A-Line_Skirt_qhgxla.png
Mustard yellow sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954298/Mustard_yellow_sweater_yzakhl.jpg
Mustard Yellow Longsleeve,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954297/Mustard_Yellow_Longsleeve_tgkk67.jpg
Mushroom Suede Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954297/Mushroom_Suede_Jacket_ndqz2a.png
Mushroom Long-Sleeve Fit-and-Flare Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954297/Mushroom_Long-Sleeve_Fit-and-Flare_Dress_sp2ejo.png
Mushroom crewneck,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954297/Mushroom_crewneck_nqzuy7.jpg
Mixed Metal Stackable Rings,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954286/Mixed_Metal_Stackable_Rings_ht9v3t.png
Mixed Metal Watch,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954286/Mixed_Metal_Watch_t9eugj.png
mushroom corduroy pants,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954286/mushroom_corduroy_pants_a5ok5d.jpg
medium wash denim jeans,Jeans & Denim,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/medium_wash_denim_jeans_dstqpo.jpg
Mint Green Polo Shirt,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/Mint_Green_Polo_Shirt_r5ajmi.jpg
Lavender Squareneck Romper,Jumpsuits & Rompers,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/Lavender_Squareneck_Romper_bgvypt.png
Leather Brown Crossbody Bag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/Leather_Brown_Crossbody_Bag_fg9c3u.png
Medium Wash Denim Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/Medium_Wash_Denim_Jacket_vf1fpk.png
Lavender Spaghetti-Strap Sundress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/Lavender_Spaghetti-Strap_Sundress_kepquh.png
Lavender Silk Blouse,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954285/Lavender_Silk_Blouse_prf1sb.jpg
Lavender Polo,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954284/Lavender_Polo_gxxrqs.jpg
Lavender knit,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954270/Lavender_knit_m8cmae.jpg
Icy Blue Long-Sleeve,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954270/Icy_Blue_Long-Sleeve_e216av.jpg
Icy blue oxford,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954270/Icy_blue_oxford_dvavgr.jpg
Ice gray sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Ice_gray_sweater_bt6p52.jpg
Honey Ruffled Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Honey_Ruffled_Top_fjzu2w.jpg
Honey Maxi Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Honey_Maxi_Dress_yja3if.png
Heather Gray Peplum Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Heather_Gray_Peplum_Top_viyll1.jpg
Honey Pleated Skirt,Skirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Honey_Pleated_Skirt_nad3xl.jpg
Honey Maxi Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Honey_Maxi_Dress_z6g0xn.jpg
Heather Tweed Blazer,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954269/Heather_Tweed_Blazer_kflami.png
Heather Long Coat,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954268/Heather_Long_Coat_kqvxah.png
